OCC_CODE	OCC_TITLE	O_GROUP	TOT_EMP
11-9071	Gambling Managers	detailed	"3,660"
11-9072	"Entertainment and Recreation Managers, Except Gambling"	detailed	"17,800"
11-9080	Lodging Managers	broad	"35,920"
11-9081	Lodging Managers	detailed	"35,920"
11-9110	Medical and Health Services Managers	broad	"436,770"
11-9111	Medical and Health Services Managers	detailed	"436,770"
11-9120	Natural Sciences Managers	broad	"74,760"
11-9121	Natural Sciences Managers	detailed	"74,760"
11-9130	Postmasters and Mail Superintendents	broad	"12,750"
11-9131	Postmasters and Mail Superintendents	detailed	"12,750"
11-9140	"Property, Real Estate, and Community Association Managers"	broad	"234,680"
11-9141	"Property, Real Estate, and Community Association Managers"	detailed	"234,680"
11-9150	Social and Community Service Managers	broad	"156,400"
11-9151	Social and Community Service Managers	detailed	"156,400"
11-9160	Emergency Management Directors	broad	"10,320"
11-9161	Emergency Management Directors	detailed	"10,320"
11-9170	Personal Service Managers	broad	"20,060"
11-9171	Funeral Home Managers	detailed	"12,710"
11-9179	"Personal Service Managers, All Other"	detailed	"7,350"
11-9190	Miscellaneous Managers	broad	"497,890"
11-9199	"Managers, All Other"	detailed	"497,890"
13-0000	Business and Financial Operations Occupations	major	"9,053,790"
13-1000	Business Operations Specialists	minor	"6,152,960"
13-1010	"Agents and Business Managers of Artists, Performers, and Athletes"	broad	"12,480"
13-1011	"Agents and Business Managers of Artists, Performers, and Athletes"	detailed	"12,480"
13-1020	Buyers and Purchasing Agents	broad	"439,020"
13-1020	Buyers and Purchasing Agents	detailed	"439,020"
13-1030	"Claims Adjusters, Appraisers, Examiners, and Investigators"	broad	"289,580"
13-1031	"Claims Adjusters, Examiners, and Investigators"	detailed	"278,140"
13-1032	"Insurance Appraisers, Auto Damage"	detailed	"11,430"
13-1040	Compliance Officers	broad	"334,340"
13-1041	Compliance Officers	detailed	"334,340"
13-1050	Cost Estimators	broad	"208,950"
13-1051	Cost Estimators	detailed	"208,950"
13-1070	Human Resources Workers	broad	"805,080"
13-1071	Human Resources Specialists	detailed	"740,830"
13-1074	Farm Labor Contractors	detailed	440
13-1075	Labor Relations Specialists	detailed	"63,810"
13-1080	Logisticians and Project Management Specialists	broad	"933,180"
13-1081	Logisticians	detailed	"189,320"
13-1082	Project Management Specialists	detailed	"743,860"
13-1110	Management Analysts	broad	"768,450"
13-1111	Management Analysts	detailed	"768,450"
13-1120	"Meeting, Convention, and Event Planners"	broad	"98,150"
13-1121	"Meeting, Convention, and Event Planners"	detailed	"98,150"
13-1130	Fundraisers	broad	"82,080"
13-1131	Fundraisers	detailed	"82,080"
13-1140	"Compensation, Benefits, and Job Analysis Specialists"	broad	"87,750"
13-1141	"Compensation, Benefits, and Job Analysis Specialists"	detailed	"87,750"
13-1150	Training and Development Specialists	broad	"336,030"
13-1151	Training and Development Specialists	detailed	"336,030"
13-1160	Market Research Analysts and Marketing Specialists	broad	"727,540"
13-1161	Market Research Analysts and Marketing Specialists	detailed	"727,540"
13-1190	Miscellaneous Business Operations Specialists	broad	"1,030,330"
13-1199	"Business Operations Specialists, All Other"	detailed	"1,030,330"
13-2000	Financial Specialists	minor	"2,900,840"
13-2010	Accountants and Auditors	broad	"1,318,550"
13-2011	Accountants and Auditors	detailed	"1,318,550"
13-2020	Property Appraisers and Assessors	broad	"58,340"
13-2020	Property Appraisers and Assessors	detailed	"58,340"
13-2030	Budget Analysts	broad	"47,440"
13-2031	Budget Analysts	detailed	"47,440"
13-2040	Credit Analysts	broad	"68,770"
13-2041	Credit Analysts	detailed	"68,770"
13-2050	Financial Analysts and Advisors	broad	"716,930"
13-2051	Financial and Investment Analysts	detailed	"291,880"
13-2052	Personal Financial Advisors	detailed	"263,030"
13-2053	Insurance Underwriters	detailed	"107,690"
13-2054	Financial Risk Specialists	detailed	"54,320"
13-2060	Financial Examiners	broad	"60,750"
13-2061	Financial Examiners	detailed	"60,750"
13-2070	Credit Counselors and Loan Officers	broad	"371,400"
13-2071	Credit Counselors	detailed	"31,230"
13-2072	Loan Officers	detailed	"340,170"
13-2080	"Tax Examiners, Collectors and Preparers, and Revenue Agents"	broad	"135,460"
13-2081	"Tax Examiners and Collectors, and Revenue Agents"	detailed	"52,270"
13-2082	Tax Preparers	detailed	"83,190"
13-2090	Miscellaneous Financial Specialists	broad	"123,200"
13-2099	"Financial Specialists, All Other"	detailed	"123,200"
15-0000	Computer and Mathematical Occupations	major	"4,654,750"
15-1200	Computer Occupations	minor	"4,389,910"
15-1210	Computer and Information Analysts	broad	"662,370"
15-1211	Computer Systems Analysts	detailed	"505,150"
15-1212	Information Security Analysts	detailed	"157,220"
15-1220	Computer and Information Research Scientists	broad	"30,840"
15-1221	Computer and Information Research Scientists	detailed	"30,840"
15-1230	Computer Support Specialists	broad	"830,510"
15-1231	Computer Network Support Specialists	detailed	"176,200"
15-1232	Computer User Support Specialists	detailed	"654,310"
15-1240	Database and Network Administrators and Architects	broad	"621,900"
15-1241	Computer Network Architects	detailed	"168,830"
15-1242	Database Administrators	detailed	"85,870"
15-1243	Database Architects	detailed	"50,440"
15-1244	Network and Computer Systems Administrators	detailed	"316,760"
15-1250	"Software and Web Developers, Programmers, and Testers"	broad	"1,874,100"
15-1251	Computer Programmers	detailed	"152,610"
15-1252	Software Developers	detailed	"1,364,180"
15-1253	Software Quality Assurance Analysts and Testers	detailed	"190,120"
15-1254	Web Developers	detailed	"84,820"
15-1255	Web and Digital Interface Designers	detailed	"82,380"
15-1290	Miscellaneous Computer Occupations	broad	"370,190"
15-1299	"Computer Occupations, All Other"	detailed	"370,190"
15-2000	Mathematical Science Occupations	minor	"264,840"
15-2010	Actuaries	broad	"23,040"
15-2011	Actuaries	detailed	"23,040"
15-2020	Mathematicians	broad	"1,770"
15-2021	Mathematicians	detailed	"1,770"
15-2030	Operations Research Analysts	broad	"98,700"
15-2031	Operations Research Analysts	detailed	"98,700"
15-2040	Statisticians	broad	"31,370"
15-2041	Statisticians	detailed	"31,370"
15-2050	Data Scientists	broad	"105,980"
15-2051	Data Scientists	detailed	"105,980"
15-2090	Miscellaneous Mathematical Science Occupations	broad	"3,970"
15-2099	"Mathematical Science Occupations, All Other"	detailed	"3,970"
17-0000	Architecture and Engineering Occupations	major	"2,436,520"
17-1000	"Architects, Surveyors, and Cartographers"	minor	"176,840"
17-1010	"Architects, Except Naval"	broad	"117,830"
17-1011	"Architects, Except Landscape and Naval"	detailed	"100,400"
17-1012	Landscape Architects	detailed	"17,430"
17-1020	"Surveyors, Cartographers, and Photogrammetrists"	broad	"59,000"
17-1021	Cartographers and Photogrammetrists	detailed	"12,610"
17-1022	Surveyors	detailed	"46,390"
17-2000	Engineers	minor	"1,631,080"
17-2010	Aerospace Engineers	broad	"56,640"
17-2011	Aerospace Engineers	detailed	"56,640"
17-2020	Agricultural Engineers	broad	"1,120"
17-2021	Agricultural Engineers	detailed	"1,120"
17-2030	Bioengineers and Biomedical Engineers	broad	"17,190"
17-2031	Bioengineers and Biomedical Engineers	detailed	"17,190"
17-2040	Chemical Engineers	broad	"24,180"
17-2041	Chemical Engineers	detailed	"24,180"
17-2050	Civil Engineers	broad	"304,310"
17-2051	Civil Engineers	detailed	"304,310"
17-2060	Computer Hardware Engineers	broad	"73,750"
17-2061	Computer Hardware Engineers	detailed	"73,750"
17-2070	Electrical and Electronics Engineers	broad	"293,190"
17-2071	Electrical Engineers	detailed	"186,020"
17-2072	"Electronics Engineers, Except Computer"	detailed	"107,170"
17-2080	Environmental Engineers	broad	"42,660"
17-2081	Environmental Engineers	detailed	"42,660"
17-2110	"Industrial Engineers, Including Health and Safety"	broad	"316,820"
17-2111	"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"	detailed	"22,870"
17-2112	Industrial Engineers	detailed	"293,950"
17-2120	Marine Engineers and Naval Architects	broad	"7,380"
17-2121	Marine Engineers and Naval Architects	detailed	"7,380"
17-2130	Materials Engineers	broad	"21,530"
17-2131	Materials Engineers	detailed	"21,530"
17-2140	Mechanical Engineers	broad	"278,240"
17-2141	Mechanical Engineers	detailed	"278,240"
17-2150	"Mining and Geological Engineers, Including Mining Safety Engineers"	broad	"7,370"
17-2151	"Mining and Geological Engineers, Including Mining Safety Engineers"	detailed	"7,370"
17-2160	Nuclear Engineers	broad	"12,670"
17-2161	Nuclear Engineers	detailed	"12,670"
17-2170	Petroleum Engineers	broad	"22,100"
17-2171	Petroleum Engineers	detailed	"22,100"
17-2190	Miscellaneous Engineers	broad	"151,940"
17-2199	"Engineers, All Other"	detailed	"151,940"
17-3000	"Drafters, Engineering Technicians, and Mapping Technicians"	minor	"628,600"
17-3010	Drafters	broad	"185,200"
17-3011	Architectural and Civil Drafters	detailed	"101,310"
17-3012	Electrical and Electronics Drafters	detailed	"20,830"
17-3013	Mechanical Drafters	detailed	"47,760"
17-3019	"Drafters, All Other"	detailed	"15,300"
17-3020	"Engineering Technologists and Technicians, Except Drafters"	broad	"387,330"
17-3021	Aerospace Engineering and Operations Technologists and Technicians	detailed	"10,900"
17-3022	Civil Engineering Technologists and Technicians	detailed	"64,170"
17-3023	Electrical and Electronic Engineering Technologists and Technicians	detailed	"101,450"
17-3024	Electro-Mechanical and Mechatronics Technologists and Technicians	detailed	"11,590"
17-3025	Environmental Engineering Technologists and Technicians	detailed	"14,910"
17-3026	Industrial Engineering Technologists and Technicians	detailed	"62,030"
17-3027	Mechanical Engineering Technologists and Technicians	detailed	"40,180"
17-3028	Calibration Technologists and Technicians	detailed	"8,500"
17-3029	"Engineering Technologists and Technicians, Except Drafters, All Other"	detailed	"73,600"
17-3030	Surveying and Mapping Technicians	broad	"56,070"
17-3031	Surveying and Mapping Technicians	detailed	"56,070"
19-0000	"Life, Physical, and Social Science Occupations"	major	"1,273,640"
19-1000	Life Scientists	minor	"304,980"
19-1010	Agricultural and Food Scientists	broad	"31,920"
19-1011	Animal Scientists	detailed	"2,790"
19-1012	Food Scientists and Technologists	detailed	"13,510"
19-1013	Soil and Plant Scientists	detailed	"15,610"
19-1020	Biological Scientists	broad	"117,460"
19-1021	Biochemists and Biophysicists	detailed	"35,050"
19-1022	Microbiologists	detailed	"19,430"
19-1023	Zoologists and Wildlife Biologists	detailed	"15,930"
19-1029	"Biological Scientists, All Other"	detailed	"47,050"
19-1030	Conservation Scientists and Foresters	broad	"32,040"
19-1031	Conservation Scientists	detailed	"22,550"
19-1032	Foresters	detailed	"9,500"
19-1040	Medical Scientists	broad	"116,740"
19-1041	Epidemiologists	detailed	"8,180"
19-1042	"Medical Scientists, Except Epidemiologists"	detailed	"108,550"
19-1090	Miscellaneous Life Scientists	broad	"6,820"
19-1099	"Life Scientists, All Other"	detailed	"6,820"
19-2000	Physical Scientists	minor	"244,340"
19-2010	Astronomers and Physicists	broad	"21,950"
19-2011	Astronomers	detailed	"1,930"
19-2012	Physicists	detailed	"20,020"
19-2020	Atmospheric and Space Scientists	broad	"8,520"
19-2021	Atmospheric and Space Scientists	detailed	"8,520"
19-2030	Chemists and Materials Scientists	broad	"87,290"
19-2031	Chemists	detailed	"80,600"
19-2032	Materials Scientists	detailed	"6,690"
19-2040	Environmental Scientists and Geoscientists	broad	"106,910"
19-2041	"Environmental Scientists and Specialists, Including Health"	detailed	"76,890"
19-2042	"Geoscientists, Except Hydrologists and Geographers"	detailed	"23,620"
19-2043	Hydrologists	detailed	"6,390"
19-2090	Miscellaneous Physical Scientists	broad	"19,680"
19-2099	"Physical Scientists, All Other"	detailed	"19,680"
19-3000	Social Scientists and Related Workers	minor	"246,680"
19-3010	Economists	broad	"15,640"
19-3011	Economists	detailed	"15,640"
19-3020	Survey Researchers	broad	"8,850"
19-3022	Survey Researchers	detailed	"8,850"
19-3030	Psychologists	broad	"129,620"
19-3032	Industrial-Organizational Psychologists	detailed	610
19-3033	Clinical and Counseling Psychologists	detailed	"58,100"
19-3034	School Psychologists	detailed	"57,110"
19-3039	"Psychologists, All Other"	detailed	"13,800"
19-3040	Sociologists	broad	"2,640"
19-3041	Sociologists	detailed	"2,640"
19-3050	Urban and Regional Planners	broad	"38,940"
19-3051	Urban and Regional Planners	detailed	"38,940"
19-3090	Miscellaneous Social Scientists and Related Workers	broad	"50,990"
19-3091	Anthropologists and Archeologists	detailed	"6,650"
19-3092	Geographers	detailed	"1,440"
19-3093	Historians	detailed	"2,910"
19-3094	Political Scientists	detailed	"5,650"
19-3099	"Social Scientists and Related Workers, All Other"	detailed	"34,330"
19-4000	"Life, Physical, and Social Science Technicians"	minor	"349,540"
19-4010	Agricultural and Food Science Technicians	broad	"25,090"
19-4012	Agricultural Technicians	detailed	"13,560"
19-4013	Food Science Technicians	detailed	"11,530"
19-4020	Biological Technicians	broad	"76,150"
19-4021	Biological Technicians	detailed	"76,150"
19-4030	Chemical Technicians	broad	"57,690"
19-4031	Chemical Technicians	detailed	"57,690"
19-4040	Environmental Science and Geoscience Technicians	broad	"46,860"
19-4042	"Environmental Science and Protection Technicians, Including Health"	detailed	"34,110"
19-4043	"Geological Technicians, Except Hydrologic Technicians"	detailed	"9,210"
19-4044	Hydrologic Technicians	detailed	"3,550"
19-4050	Nuclear Technicians	broad	"5,360"
19-4051	Nuclear Technicians	detailed	"5,360"
19-4060	Social Science Research Assistants	broad	"28,690"
19-4061	Social Science Research Assistants	detailed	"28,690"
19-4070	Forest and Conservation Technicians	broad	"30,440"
19-4071	Forest and Conservation Technicians	detailed	"30,440"
19-4090	"Miscellaneous Life, Physical, and Social Science Technicians"	broad	"79,250"
19-4092	Forensic Science Technicians	detailed	"17,020"
19-4099	"Life, Physical, and Social Science Technicians, All Other"	detailed	"62,230"
19-5000	Occupational Health and Safety Specialists and Technicians	minor	"128,090"
19-5010	Occupational Health and Safety Specialists and Technicians	broad	"128,090"
19-5011	Occupational Health and Safety Specialists	detailed	"106,340"
19-5012	Occupational Health and Safety Technicians	detailed	"21,750"
21-0000	Community and Social Service Occupations	major	"2,239,680"
21-1000	"Counselors, Social Workers, and Other Community and Social Service Specialists"	minor	"2,157,410"
21-1010	Counselors	broad	"781,830"
21-1012	"Educational, Guidance, and Career Counselors and Advisors"	detailed	"296,370"
21-1013	Marriage and Family Therapists	detailed	"54,800"
21-1015	Rehabilitation Counselors	detailed	"90,310"
21-1018	"Substance Abuse, Behavioral Disorder, and Mental Health Counselors"	detailed	"310,880"
21-1019	"Counselors, All Other"	detailed	"29,480"
21-1020	Social Workers	broad	"677,440"
21-1021	"Child, Family, and School Social Workers"	detailed	"340,050"
21-1022	Healthcare Social Workers	detailed	"173,860"
21-1023	Mental Health and Substance Abuse Social Workers	detailed	"113,810"
21-1029	"Social Workers, All Other"	detailed	"49,730"
21-1090	Miscellaneous Community and Social Service Specialists	broad	"698,130"
21-1091	Health Education Specialists	detailed	"55,830"
21-1092	Probation Officers and Correctional Treatment Specialists	detailed	"92,140"
21-1093	Social and Human Service Assistants	detailed	"398,380"
21-1094	Community Health Workers	detailed	"61,010"
21-1099	"Community and Social Service Specialists, All Other"	detailed	"90,770"
21-2000	Religious Workers	minor	"82,280"
21-2010	Clergy	broad	"50,790"
21-2011	Clergy	detailed	"50,790"
21-2020	"Directors, Religious Activities and Education"	broad	"21,000"
21-2021	"Directors, Religious Activities and Education"	detailed	"21,000"
21-2090	Miscellaneous Religious Workers	broad	"10,490"
21-2099	"Religious Workers, All Other"	detailed	"10,490"
23-0000	Legal Occupations	major	"1,178,140"
23-1000	"Lawyers, Judges, and Related Workers"	minor	"744,760"
23-1010	Lawyers and Judicial Law Clerks	broad	"695,810"
23-1011	Lawyers	detailed	"681,010"
23-1012	Judicial Law Clerks	detailed	"14,800"
23-1020	"Judges, Magistrates, and Other Judicial Workers"	broad	"48,950"
23-1021	"Administrative Law Judges, Adjudicators, and Hearing Officers"	detailed	"13,840"
23-1022	"Arbitrators, Mediators, and Conciliators"	detailed	"7,320"
23-1023	"Judges, Magistrate Judges, and Magistrates"	detailed	"27,790"
23-2000	Legal Support Workers	minor	"433,380"
23-2010	Paralegals and Legal Assistants	broad	"336,250"
23-2011	Paralegals and Legal Assistants	detailed	"336,250"
23-2090	Miscellaneous Legal Support Workers	broad	"97,130"
23-2093	"Title Examiners, Abstractors, and Searchers"	detailed	"51,040"
23-2099	"Legal Support Workers, All Other"	detailed	"46,090"
25-0000	Educational Instruction and Library Occupations	major	"8,191,930"
25-1000	Postsecondary Teachers	minor	"1,340,560"
25-1010	"Business Teachers, Postsecondary"	broad	"79,640"
25-1011	"Business Teachers, Postsecondary"	detailed	"79,640"
25-1020	"Math and Computer Science Teachers, Postsecondary"	broad	"81,740"
25-1021	"Computer Science Teachers, Postsecondary"	detailed	"37,600"
25-1022	"Mathematical Science Teachers, Postsecondary"	detailed	"44,140"
25-1030	"Engineering and Architecture Teachers, Postsecondary"	broad	"41,380"
25-1031	"Architecture Teachers, Postsecondary"	detailed	"5,950"
25-1032	"Engineering Teachers, Postsecondary"	detailed	"35,440"
25-1040	"Life Sciences Teachers, Postsecondary"	broad	"57,440"
25-1041	"Agricultural Sciences Teachers, Postsecondary"	detailed	"8,570"
25-1042	"Biological Science Teachers, Postsecondary"	detailed	"47,690"
25-1043	"Forestry and Conservation Science Teachers, Postsecondary"	detailed	"1,180"
25-1050	"Physical Sciences Teachers, Postsecondary"	broad	"48,420"
25-1051	"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"	detailed	"10,250"
25-1052	"Chemistry Teachers, Postsecondary"	detailed	"20,260"
25-1053	"Environmental Science Teachers, Postsecondary"	detailed	"5,440"
25-1054	"Physics Teachers, Postsecondary"	detailed	"12,460"
25-1060	"Social Sciences Teachers, Postsecondary"	broad	"108,100"
25-1061	"Anthropology and Archeology Teachers, Postsecondary"	detailed	"5,010"
25-1062	"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"	detailed	"9,040"
25-1063	"Economics Teachers, Postsecondary"	detailed	"11,790"
25-1064	"Geography Teachers, Postsecondary"	detailed	"3,440"
25-1065	"Political Science Teachers, Postsecondary"	detailed	"14,060"
25-1066	"Psychology Teachers, Postsecondary"	detailed	"36,060"
25-1067	"Sociology Teachers, Postsecondary"	detailed	"12,550"
25-1069	"Social Sciences Teachers, Postsecondary, All Other"	detailed	"16,140"
25-1070	"Health Teachers, Postsecondary"	broad	"259,890"
25-1071	"Health Specialties Teachers, Postsecondary"	detailed	"191,830"
25-1072	"Nursing Instructors and Teachers, Postsecondary"	detailed	"68,060"
25-1080	"Education and Library Science Teachers, Postsecondary"	broad	"63,100"
25-1081	"Education Teachers, Postsecondary"	detailed	"58,780"
25-1082	"Library Science Teachers, Postsecondary"	detailed	"4,330"
25-1110	"Law, Criminal Justice, and Social Work Teachers, Postsecondary"	broad	"40,170"
25-1111	"Criminal Justice and Law Enforcement Teachers, Postsecondary"	detailed	"13,790"
25-1112	"Law Teachers, Postsecondary"	detailed	"14,110"
25-1113	"Social Work Teachers, Postsecondary"	detailed	"12,280"
25-1120	"Arts, Communications, History, and Humanities Teachers, Postsecondary"	broad	"239,610"
25-1121	"Art, Drama, and Music Teachers, Postsecondary"	detailed	"94,720"
25-1122	"Communications Teachers, Postsecondary"	detailed	"27,330"
25-1123	"English Language and Literature Teachers, Postsecondary"	detailed	"58,480"
25-1124	"Foreign Language and Literature Teachers, Postsecondary"	detailed	"19,640"
25-1125	"History Teachers, Postsecondary"	detailed	"18,590"
25-1126	"Philosophy and Religion Teachers, Postsecondary"	detailed	"20,850"
25-1190	Miscellaneous Postsecondary Teachers	broad	"321,050"
25-1192	"Family and Consumer Sciences Teachers, Postsecondary"	detailed	"2,730"
25-1193	"Recreation and Fitness Studies Teachers, Postsecondary"	detailed	"13,860"
25-1194	"Career/Technical Education Teachers, Postsecondary"	detailed	"105,440"
25-1199	"Postsecondary Teachers, All Other"	detailed	"199,020"
25-2000	"Preschool, Elementary, Middle, Secondary, and Special Education Teachers"	minor	"4,021,070"
25-2010	Preschool and Kindergarten Teachers	broad	"512,400"
25-2011	"Preschool Teachers, Except Special Education"	detailed	"391,670"
25-2012	"Kindergarten Teachers, Except Special Education"	detailed	"120,730"
25-2020	Elementary and Middle School Teachers	broad	"1,933,120"
25-2021	"Elementary School Teachers, Except Special Education"	detailed	"1,329,280"
25-2022	"Middle School Teachers, Except Special and Career/Technical Education"	detailed	"592,000"
25-2023	"Career/Technical Education Teachers, Middle School"	detailed	"11,840"
25-2030	Secondary School Teachers	broad	"1,104,600"
25-2031	"Secondary School Teachers, Except Special and Career/Technical Education"	detailed	"1,020,240"
25-2032	"Career/Technical Education Teachers, Secondary School"	detailed	"84,360"
25-2050	Special Education Teachers	broad	"470,960"
25-2051	"Special Education Teachers, Preschool"	detailed	"21,130"
25-2052	"Special Education Teachers, Kindergarten and Elementary School"	detailed	"187,070"
25-2057	"Special Education Teachers, Middle School"	detailed	"79,070"
25-2058	"Special Education Teachers, Secondary School"	detailed	"145,690"
25-2059	"Special Education Teachers, All Other"	detailed	"38,000"
25-3000	Other Teachers and Instructors	minor	"941,530"
25-3010	"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors"	broad	"38,260"
25-3011	"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors"	detailed	"38,260"
25-3020	Self-Enrichment Teachers	broad	"216,910"
25-3021	Self-Enrichment Teachers	detailed	"216,910"
25-3030	"Substitute Teachers, Short-Term"	broad	"374,620"
25-3031	"Substitute Teachers, Short-Term"	detailed	"374,620"
25-3040	Tutors	broad	"147,100"
25-3041	Tutors	detailed	"147,100"
25-3090	Miscellaneous Teachers and Instructors	broad	"164,650"
25-3099	"Teachers and Instructors, All Other"	detailed	"164,650"
25-4000	"Librarians, Curators, and Archivists"	minor	"228,900"
25-4010	"Archivists, Curators, and Museum Technicians"	broad	"28,110"
25-4011	Archivists	detailed	"6,120"
25-4012	Curators	detailed	"11,030"
25-4013	Museum Technicians and Conservators	detailed	"10,960"
25-4020	Librarians and Media Collections Specialists	broad	"127,790"
25-4022	Librarians and Media Collections Specialists	detailed	"127,790"
25-4030	Library Technicians	broad	"73,000"
25-4031	Library Technicians	detailed	"73,000"
25-9000	Other Educational Instruction and Library Occupations	minor	"1,659,870"
25-9020	Farm and Home Management Educators	broad	"10,620"
25-9021	Farm and Home Management Educators	detailed	"10,620"
25-9030	Instructional Coordinators	broad	"184,740"
25-9031	Instructional Coordinators	detailed	"184,740"
25-9040	Teaching Assistants	broad	"1,308,560"
25-9044	"Teaching Assistants, Postsecondary"	detailed	"121,290"
25-9045	"Teaching Assistants, Except Postsecondary"	detailed	"1,187,270"
25-9090	Miscellaneous Educational Instruction and Library Workers	broad	"155,950"
25-9099	"Educational Instruction and Library Workers, All Other"	detailed	"155,950"
27-0000	"Arts, Design, Entertainment, Sports, and Media Occupations"	major	"1,815,290"
27-1000	Art and Design Workers	minor	"609,150"
27-1010	Artists and Related Workers	broad	"83,070"
27-1011	Art Directors	detailed	"42,080"
27-1012	Craft Artists	detailed	"3,740"
27-1013	"Fine Artists, Including Painters, Sculptors, and Illustrators"	detailed	"9,430"
27-1014	Special Effects Artists and Animators	detailed	"20,430"
27-1019	"Artists and Related Workers, All Other"	detailed	"7,390"
27-1020	Designers	broad	"526,080"
27-1021	Commercial and Industrial Designers	detailed	"27,940"
27-1022	Fashion Designers	detailed	"19,310"
27-1023	Floral Designers	detailed	"36,000"
27-1024	Graphic Designers	detailed	"204,040"
27-1025	Interior Designers	detailed	"61,970"
27-1026	Merchandise Displayers and Window Trimmers	detailed	"159,790"
27-1027	Set and Exhibit Designers	detailed	"6,850"
27-1029	"Designers, All Other"	detailed	"10,190"
27-2000	"Entertainers and Performers, Sports and Related Workers"	minor	"438,600"
27-2010	"Actors, Producers, and Directors"	broad	"168,350"
27-2011	Actors	detailed	"30,100"
27-2012	Producers and Directors	detailed	"138,250"
27-2020	"Athletes, Coaches, Umpires, and Related Workers"	broad	"215,690"
27-2021	Athletes and Sports Competitors	detailed	"12,320"
27-2022	Coaches and Scouts	detailed	"193,740"
27-2023	"Umpires, Referees, and Other Sports Officials"	detailed	"9,620"
27-2030	Dancers and Choreographers	broad	"7,850"
27-2031	Dancers	detailed	"3,850"
27-2032	Choreographers	detailed	"3,990"
27-2040	"Musicians, Singers, and Related Workers"	broad	"33,640"
27-2041	Music Directors and Composers	detailed	"9,560"
27-2042	Musicians and Singers	detailed	"24,080"
27-2090	"Miscellaneous Entertainers and Performers, Sports and Related Workers"	broad	"13,070"
27-2091	"Disc Jockeys, Except Radio"	detailed	"4,770"
27-2099	"Entertainers and Performers, Sports and Related Workers, All Other"	detailed	"8,300"
27-3000	Media and Communication Workers	minor	"573,200"
27-3010	Broadcast Announcers and Radio Disc Jockeys	broad	"24,580"
27-3011	Broadcast Announcers and Radio Disc Jockeys	detailed	"24,580"
27-3020	"News Analysts, Reporters and Journalists"	broad	"39,080"
27-3023	"News Analysts, Reporters, and Journalists"	detailed	"39,080"
27-3030	Public Relations Specialists	broad	"242,710"
